# x, y, theta, v_l, v_r
24.90, 348.68, 1.820, 24.93, 24.93
24.83, 348.92, 1.820, 24.93, 24.93
24.77, 349.16, 1.820, 24.93, 24.93
24.71, 349.40, 1.820, 24.93, 24.93
24.65, 349.64, 1.820, 24.93, 24.93
24.59, 349.89, 1.820, 24.93, 24.93
24.53, 350.13, 1.820, 24.93, 24.93
24.47, 350.37, 1.820, 24.93, 24.93
24.40, 350.61, 1.820, 24.93, 24.93
24.34, 350.85, 1.820, 24.93, 24.93
24.28, 351.09, 1.820, 24.93, 24.93
24.22, 351.33, 1.820, 24.93, 24.93
24.16, 351.58, 1.820, 24.93, 24.93
24.10, 351.82, 1.820, 24.93, 24.93
24.03, 352.06, 1.820, 24.93, 24.93
23.97, 352.30, 1.820, 24.93, 24.93
23.91, 352.54, 1.820, 24.93, 24.93
23.85, 352.78, 1.820, 24.93, 24.93
23.79, 353.03, 1.820, 24.93, 24.93
23.73, 353.27, 1.820, 24.93, 24.93
23.67, 353.51, 1.820, 24.93, 24.93
23.60, 353.75, 1.820, 24.93, 24.93
23.54, 353.99, 1.820, 24.93, 24.93
23.48, 354.23, 1.820, 24.93, 24.93
23.42, 354.47, 1.820, 24.93, 24.93
23.36, 354.72, 1.820, 24.93, 24.93
23.30, 354.96, 1.820, 24.93, 24.93
23.24, 355.20, 1.820, 24.93, 24.93
23.17, 355.44, 1.820, 24.93, 24.93
23.11, 355.68, 1.820, 24.93, 24.93
23.05, 355.92, 1.820, 24.93, 24.93
22.99, 356.17, 1.820, 24.93, 24.93
22.93, 356.41, 1.820, 24.93, 24.93
22.87, 356.65, 1.820, 24.93, 24.93
22.80, 356.89, 1.820, 24.93, 24.93
22.74, 357.13, 1.820, 24.93, 24.93
22.68, 357.37, 1.820, 24.93, 24.93
22.62, 357.62, 1.820, 24.93, 24.93
22.56, 357.86, 1.820, 24.93, 24.93
22.50, 358.10, 1.820, 24.93, 24.93
22.44, 358.34, 1.820, 24.93, 24.93
22.37, 358.58, 1.820, 24.93, 24.93
22.31, 358.82, 1.820, 24.93, 24.93
22.25, 359.06, 1.820, 24.93, 24.93
22.19, 359.31, 1.820, 24.93, 24.93
22.13, 359.55, 1.820, 24.93, 24.93
22.07, 359.79, 1.820, 24.93, 24.93
22.01, 360.03, 1.820, 24.93, 24.93
21.94, 360.27, 1.820, 24.93, 24.93
21.88, 360.51, 1.820, 24.93, 24.93
21.82, 360.76, 1.820, 24.93, 24.93
21.76, 361.00, 1.820, 24.93, 24.93
21.70, 361.24, 1.820, 24.93, 24.93
21.64, 361.48, 1.820, 24.93, 24.93
21.57, 361.72, 1.820, 24.93, 24.93
21.51, 361.96, 1.820, 24.93, 24.93
21.45, 362.20, 1.820, 24.93, 24.93
21.39, 362.45, 1.820, 24.93, 24.93
21.33, 362.69, 1.820, 24.93, 24.93
21.27, 362.93, 1.820, 24.93, 24.93
21.21, 363.17, 1.820, 24.93, 24.93
21.14, 363.41, 1.820, 24.93, 24.93
21.08, 363.65, 1.820, 24.93, 24.93
21.02, 363.90, 1.820, 24.93, 24.93
20.96, 364.14, 1.820, 24.93, 24.93
20.90, 364.38, 1.820, 24.93, 24.93
20.84, 364.62, 1.820, 24.93, 24.93
20.78, 364.86, 1.820, 24.93, 24.93
20.71, 365.10, 1.820, 24.93, 24.93
20.65, 365.35, 1.820, 24.93, 24.93
20.59, 365.59, 1.820, 24.93, 24.93
20.53, 365.83, 1.820, 24.93, 24.93
20.47, 366.07, 1.820, 24.93, 24.93
20.41, 366.31, 1.820, 24.93, 24.93
20.35, 366.55, 1.820, 24.93, 24.93
20.28, 366.79, 1.820, 24.93, 24.93
20.22, 367.04, 1.820, 24.93, 24.93
20.16, 367.28, 1.820, 24.93, 24.93
20.10, 367.52, 1.820, 24.93, 24.93
20.04, 367.76, 1.820, 24.93, 24.93
19.98, 368.00, 1.820, 24.93, 24.93
19.91, 368.24, 1.820, 24.93, 24.93
19.85, 368.49, 1.820, 24.93, 24.93
19.79, 368.73, 1.820, 24.93, 24.93
19.73, 368.97, 1.820, 24.93, 24.93
19.67, 369.21, 1.820, 24.93, 24.93
19.61, 369.45, 1.820, 24.93, 24.93
19.55, 369.69, 1.820, 24.93, 24.93
19.48, 369.93, 1.820, 24.93, 24.93
19.42, 370.18, 1.820, 24.93, 24.93
19.36, 370.42, 1.820, 24.93, 24.93
19.30, 370.66, 1.820, 24.93, 24.93
19.24, 370.90, 1.820, 24.93, 24.93
19.18, 371.14, 1.820, 24.93, 24.93
19.12, 371.38, 1.820, 24.93, 24.93
19.05, 371.63, 1.820, 24.93, 24.93
18.99, 371.87, 1.820, 24.93, 24.93
18.93, 372.11, 1.820, 24.93, 24.93
18.87, 372.35, 1.820, 24.93, 24.93
18.81, 372.59, 1.820, 24.93, 24.93
18.75, 372.83, 1.820, 24.93, 24.93
18.68, 373.08, 1.820, 24.93, 24.93
18.62, 373.32, 1.820, 24.93, 24.93
18.56, 373.56, 1.820, 24.93, 24.93
18.50, 373.80, 1.820, 24.93, 24.93
18.44, 374.04, 1.820, 24.93, 24.93
18.38, 374.28, 1.820, 24.93, 24.93
18.32, 374.52, 1.820, 24.93, 24.93
18.25, 374.77, 1.820, 24.93, 24.93
18.19, 375.01, 1.820, 24.93, 24.93
18.13, 375.25, 1.820, 24.93, 24.93
18.07, 375.49, 1.820, 24.93, 24.93
18.01, 375.73, 1.820, 24.93, 24.93
17.95, 375.97, 1.820, 24.93, 24.93
17.89, 376.22, 1.820, 24.93, 24.93
17.82, 376.46, 1.820, 24.93, 24.93
17.76, 376.70, 1.820, 24.93, 24.93
17.70, 376.94, 1.820, 24.93, 24.93
17.64, 377.18, 1.820, 24.93, 24.93
17.58, 377.42, 1.820, 24.93, 24.93
17.52, 377.66, 1.820, 24.93, 24.93
17.45, 377.91, 1.820, 24.93, 24.93
17.39, 378.15, 1.820, 24.93, 24.93
17.33, 378.39, 1.820, 24.93, 24.93
17.27, 378.63, 1.820, 24.93, 24.93
17.21, 378.87, 1.820, 24.93, 24.93
17.15, 379.11, 1.820, 24.93, 24.93
17.09, 379.36, 1.820, 24.93, 24.93
17.02, 379.60, 1.820, 24.93, 24.93
16.96, 379.84, 1.820, 24.93, 24.93
16.90, 380.08, 1.820, 24.93, 24.93
16.84, 380.32, 1.820, 24.93, 24.93
16.78, 380.56, 1.820, 24.93, 24.93
16.72, 380.81, 1.820, 24.93, 24.93
16.66, 381.05, 1.820, 24.93, 24.93
16.59, 381.29, 1.820, 24.93, 24.93
16.53, 381.53, 1.820, 24.93, 24.93
16.47, 381.77, 1.820, 24.93, 24.93
16.41, 382.01, 1.820, 24.93, 24.93
16.35, 382.25, 1.820, 24.93, 24.93
16.29, 382.50, 1.820, 24.93, 24.93
16.23, 382.74, 1.820, 24.93, 24.93
16.16, 382.98, 1.820, 24.93, 24.93
16.10, 383.22, 1.820, 24.93, 24.93
16.04, 383.46, 1.820, 24.93, 24.93
15.98, 383.70, 1.820, 24.93, 24.93
15.92, 383.95, 1.820, 24.93, 24.93
15.86, 384.19, 1.820, 24.93, 24.93
15.79, 384.43, 1.820, 24.93, 24.93
15.73, 384.67, 1.820, 24.93, 24.93
15.67, 384.91, 1.820, 24.93, 24.93
15.61, 385.15, 1.820, 24.93, 24.93
15.55, 385.39, 1.820, 24.93, 24.93
15.49, 385.64, 1.820, 24.93, 24.93
15.43, 385.88, 1.820, 24.93, 24.93
15.36, 386.12, 1.820, 24.93, 24.93
15.30, 386.36, 1.820, 24.93, 24.93
15.24, 386.60, 1.820, 24.93, 24.93
15.18, 386.84, 1.820, 24.93, 24.93
15.12, 387.09, 1.820, 24.93, 24.93
15.06, 387.33, 1.820, 24.93, 24.93
15.00, 387.57, 1.820, 24.93, 24.93
14.93, 387.81, 1.820, 24.93, 24.93
14.87, 388.05, 1.820, 24.93, 24.93
14.81, 388.29, 1.820, 24.93, 24.93
14.75, 388.54, 1.820, 24.93, 24.93
14.69, 388.78, 1.820, 24.93, 24.93
14.63, 389.02, 1.820, 24.93, 24.93
14.56, 389.26, 1.820, 24.93, 24.93
14.50, 389.50, 1.820, 24.93, 24.93
14.44, 389.74, 1.820, 24.93, 24.93
